# Region type : patch node2U_2_Outlet_0
#   Faces  : 148
#   Area   : 1.734765e-02
#        Time	areaAverage(T)
     0.999427	2.971500e+02
      2.00049	2.971500e+02
      3.00031	2.971500e+02
      3.99974	2.971500e+02
     4.999852	2.971500e+02
     6.001051	2.971500e+02
     7.000531	2.971500e+02
     8.000508	2.971500e+02
     9.000207	2.971500e+02
   10.0013794	2.971499e+02
   11.0007483	2.971970e+02
   12.0009581	2.972440e+02
   13.0012716	2.972908e+02
   14.0004204	2.973374e+02
 15.000882636	2.973838e+02
 16.001077857	2.974300e+02
 17.000874587	2.974760e+02
 18.001297825	2.975219e+02
 18.999997331	2.975675e+02
19.99974363277	2.976130e+02
21.00013000688	2.976583e+02
21.99951010608	2.977035e+02
23.0007789643	2.977485e+02
24.00030977396	2.977933e+02
25.0006876778063	2.978379e+02
26.0018211622955	2.978825e+02
27.0009272325863	2.979267e+02
28.0011152818829	2.979709e+02
29.0019150399812	2.980149e+02
29.99963339520048	2.980587e+02
30.99975399205533	2.981024e+02
32.00195808300927	2.981460e+02
33.00036351629399	2.981894e+02
34.00152031133324	2.982327e+02
35.0000319973371177	2.982757e+02
35.9994773442381373	2.983187e+02
37.0001987197160886	2.983616e+02
38.0021760230756698	2.984044e+02
39.00197720717415	2.984471e+02
39.9992493953574311	2.984894e+02
40.9997077548663924	2.985318e+02
41.9997772181670257	2.985740e+02
42.999310659153366	2.986161e+02
44.0015347624523443	2.986582e+02
45.0010431952246606	2.987001e+02
46.0015630644595674	2.987420e+02
47.0003914929805973	2.987838e+02
48.0006664008883988	2.988256e+02
48.9991798779657941	2.988673e+02
50.0019712486823522	2.989091e+02
51.0000250247866376	2.989507e+02
51.9993676124829278	2.989922e+02
53.0000102154659061	2.990338e+02
54.0019344414052966	2.990754e+02
55.0020148194735441	2.991168e+02
56.0001285932337183	2.991581e+02
56.9992249820097356	2.991994e+02
57.9991997163307076	2.992406e+02
58.9999550090565776	2.992817e+02
60.0014234958739223	2.993229e+02
61.0004632500940716	2.993638e+02
62.000084864072889	2.994047e+02
63.0001545402539449	2.994455e+02
64.0004856331644447	2.994862e+02
65.0008133628472962	2.995269e+02
66.0008771940652679	2.995675e+02
67.0005580913406646	2.996081e+02
67.9997585603099282	2.996486e+02
69.0015514355213213	2.996891e+02
69.9999253267697554	2.997294e+02
71.001416919001457	2.997699e+02
72.0003077102233533	2.998101e+02
73.0000055650002224	2.998504e+02
74.0004542701351511	2.998906e+02
75.0012297314367942	2.999307e+02
76.0017050601433084	2.999708e+02
77.0015829030590453	3.000107e+02
78.0008310964979046	3.000506e+02
78.9994719340231342	3.000903e+02
80.0003766774256206	3.001301e+02
81.000090712136938	3.001697e+02
82.0011817021768934	3.002093e+02
83.0003246902043372	3.002488e+02
84.000635528176602	3.002882e+02
85.002151218543375	3.003276e+02
86.0019154841315441	3.003669e+02
86.999858134032209	3.004060e+02
88.0019842097888443	3.004451e+02
88.9991847072950151	3.004840e+02
90.0007768188045105	3.005230e+02
91.0009443510056144	3.005619e+02
91.9999368140050677	3.006006e+02
93.0010377332170322	3.006393e+02
94.0014289302339137	3.006778e+02
95.001260826219692	3.007163e+02
96.0006467963373211	3.007546e+02
96.999775529914217	3.007929e+02
98.0017986127455174	3.008311e+02
99.0007953452049634	3.008692e+02
99.9998921861874521	3.009071e+02
101.002167746177733	3.009451e+02
102.001611169169919	3.009829e+02
103.001108123881082	3.010206e+02
104.00069629867761	3.010582e+02
105.000307167335905	3.010958e+02
105.999884637571597	3.011332e+02
106.999624119130672	3.011705e+02
107.999783765003897	3.012078e+02
109.000807134087594	3.012450e+02
110.000245367339758	3.012820e+02
111.001648316322559	3.013191e+02
112.002060277222085	3.013560e+02
