# Region type : patch sidenode2U_0_Outlet_0
#   Faces  : 172
#   Area   : 1.728441e-02
#        Time	areaAverage(T)
     0.999427	3.031500e+02
      2.00049	3.031500e+02
      3.00031	3.031500e+02
      3.99973	3.031500e+02
      4.99982	3.031500e+02
      6.00096	3.031500e+02
      7.00036	3.031499e+02
      8.00025	3.031498e+02
      8.99988	3.031496e+02
    10.001085	3.031493e+02
    11.000692	3.031529e+02
    12.001192	3.031565e+02
    12.999654	3.031601e+02
    14.001553	3.031637e+02
  15.00191378	3.031673e+02
  15.99990726	3.031708e+02
  17.00021302	3.031742e+02
  18.00201162	3.031775e+02
    19.001665	3.031809e+02
 20.001063064	3.031843e+02
 21.000223408	3.031878e+02
 22.000868674	3.031912e+02
 22.999568146	3.031947e+02
  24.00203262	3.031982e+02
25.00206209729	3.032017e+02
25.9997240433	3.032052e+02
27.00155800819	3.032088e+02
28.00198841907	3.032123e+02
29.00100132413	3.032158e+02
30.0012255059946	3.032194e+02
31.0020125996283	3.032229e+02
31.9997203434261	3.032265e+02
33.0000159367413	3.032301e+02
33.9999993471484	3.032337e+02
35.0001409482367123	3.032373e+02
36.0010399662744121	3.032409e+02
37.000256075600312	3.032446e+02
38.0011334139074748	3.032482e+02
39.0001093232681626	3.032519e+02
39.9994296677075454	3.032556e+02
41.001577972869228	3.032593e+02
42.000199945820512	3.032630e+02
43.0015357555295594	3.032668e+02
44.0000908474563985	3.032705e+02
44.999720034311153	3.032743e+02
46.0011036185372717	3.032780e+02
47.0017015365830488	3.032818e+02
48.001828578469862	3.032856e+02
49.0009987208578792	3.032895e+02
50.001646775172766	3.032933e+02
51.0004873107095733	3.032972e+02
52.0004965650810149	3.033010e+02
53.0016782245142934	3.033049e+02
54.0010911490910033	3.033088e+02
55.0018322131206503	3.033128e+02
56.0008311045826801	3.033167e+02
57.0009505745707656	3.033206e+02
58.0018173874204663	3.033246e+02
58.9998754286462415	3.033286e+02
60.0007253884735974	3.033326e+02
61.000729949421661	3.033366e+02
61.9994469747591523	3.033406e+02
62.9997307278246481	3.033446e+02
64.0016132336676264	3.033486e+02
65.0021195847200062	3.033527e+02
66.0013755148593475	3.033568e+02
66.9994618408717173	3.033608e+02
67.9995567282688285	3.033649e+02
69.0018710907051513	3.033691e+02
70.0005020403649496	3.033732e+02
71.0017759000867983	3.033773e+02
71.9997917061677697	3.033814e+02
73.0007626398363385	3.033856e+02
74.0017781164737585	3.033898e+02
74.9999419786135348	3.033939e+02
76.0015844890211554	3.033981e+02
77.00072239299773	3.034023e+02
78.0004746440082357	3.034065e+02
79.0007523688503994	3.034108e+02
80.0017080025030367	3.034150e+02
81.0004119802447349	3.034192e+02
81.9999292237897635	3.034235e+02
83.0001885797195058	3.034278e+02
84.0008505180802274	3.034321e+02
85.0015387397775584	3.034364e+02
86.0016440249805925	3.034407e+02
87.0005454702849761	3.034450e+02
88.0008545399135187	3.034494e+02
89.0021930695815655	3.034538e+02
90.0016302263138357	3.034582e+02
91.002174366868033	3.034626e+02
92.0010182300664496	3.034670e+02
93.0013450760332745	3.034715e+02
94.0003161743501465	3.034759e+02
95.0010570184568053	3.034804e+02
96.0007746328522842	3.034849e+02
96.9996630297850828	3.034894e+02
98.0009484938242394	3.034940e+02
99.0017864968606887	3.034985e+02
99.9993158549129504	3.035031e+02
100.999686726631666	3.035077e+02
101.999978489330886	3.035124e+02
103.000261993464633	3.035170e+02
104.000541499501338	3.035217e+02
105.000800443492778	3.035264e+02
106.001026051885219	3.035312e+02
107.001221026466325	3.035359e+02
108.001370521164162	3.035407e+02
109.001483834954172	3.035455e+02
110.001570880767829	3.035503e+02
111.001639397267027	3.035551e+02
112.001691850402395	3.035599e+02
113.001723550038278	3.035648e+02
114.001722531996805	3.035697e+02
115.001688189451627	3.035745e+02
116.001613455088133	3.035794e+02
117.001515885901682	3.035844e+02
118.001399825818325	3.035893e+02
119.00127979677535	3.035942e+02
120.001166177764588	3.035992e+02
121.001081732862403	3.036042e+02
122.001048584949245	3.036091e+02
123.001071870744425	3.036142e+02
124.001154706657402	3.036192e+02
125.001275712311497	3.036242e+02
126.001409099885151	3.036293e+02
127.001505571405914	3.036343e+02
128.001520918692876	3.036394e+02
129.001402911285169	3.036445e+02
130.001116511936488	3.036496e+02
131.000614246332248	3.036547e+02
131.999921018561707	3.036598e+02
133.002057892161417	3.036649e+02
134.001047481116501	3.036701e+02
134.999918542921648	3.036752e+02
136.001802808679997	3.036804e+02
137.000722192789738	3.036855e+02
137.999722857611772	3.036907e+02
139.001822047630924	3.036959e+02
140.001006477596889	3.037011e+02
141.000279937221819	3.037062e+02
141.999610839514531	3.037114e+02
143.002000997207233	3.037166e+02
144.001416430672435	3.037217e+02
145.000845281827281	3.037268e+02
146.000219852035571	3.037320e+02
146.999516132038053	3.037371e+02
148.001580804985281	3.037421e+02
149.00037623196738	3.037472e+02
150.002041994228136	3.037522e+02
151.000659972712299	3.037572e+02
151.999442445215436	3.037621e+02
153.001677289877819	3.037671e+02
154.00172177073722	3.037720e+02
154.999891828328799	3.037769e+02
155.999586603544287	3.037817e+02
157.001135382558516	3.037866e+02
158.001515024317882	3.037914e+02
159.000452904609233	3.037963e+02
160.000936841011566	3.038011e+02
160.999840760413548	3.038060e+02
162.000128449045548	3.038108e+02
163.001721118222179	3.038157e+02
164.001466615174991	3.038205e+02
164.999469516720637	3.038253e+02
166.001895769050151	3.038302e+02
166.999623230678878	3.038350e+02
168.001980176455106	3.038398e+02
168.999797111832464	3.038447e+02
169.999327931056797	3.038495e+02
171.000741704657912	3.038543e+02
172.000933317836058	3.038592e+02
172.999858258248878	3.038641e+02
174.000459309810481	3.038690e+02
174.999230964081022	3.038740e+02
176.001823974840363	3.038789e+02
177.001677528293413	3.038839e+02
178.001897432278639	3.038889e+02
178.999477284530741	3.038938e+02
180.000876929608779	3.038988e+02
181.000129702013908	3.039038e+02
182.000620718633769	3.039088e+02
182.999341833524653	3.039137e+02
183.999269602900625	3.039185e+02
185.000290159403136	3.039234e+02
185.999138254646653	3.039281e+02
187.00192819901423	3.039327e+02
188.002100753132737	3.039373e+02
188.999401948011354	3.039417e+02
190.000009576696584	3.039461e+02
191.000602512052552	3.039505e+02
192.000903248552049	3.039548e+02
193.000646632122681	3.039591e+02
193.999514181629451	3.039635e+02
195.000731162499932	3.039681e+02
196.001754937982156	3.039727e+02
197.000071045045672	3.039774e+02
198.002007170686312	3.039822e+02
199.000916881997426	3.039871e+02
199.999612353780066	3.039920e+02
201.001058917549273	3.039969e+02
202.002077889812654	3.040018e+02
202.99938204591723	3.040067e+02
204.002095543813795	3.040116e+02
205.000992474260471	3.040164e+02
205.999660504312885	3.040211e+02
207.001238886837569	3.040257e+02
207.999298004801517	3.040302e+02
208.999745348981605	3.040345e+02
210.001458903139991	3.040388e+02
211.000242198910087	3.040428e+02
212.001905389240108	3.040468e+02
213.000223120931452	3.040506e+02
214.001889103766104	3.040544e+02
215.001311938262972	3.040581e+02
216.001580318367957	3.040618e+02
217.001009526045266	3.040654e+02
218.001233887792552	3.040690e+02
219.000201883343749	3.040725e+02
220.000910902737701	3.040760e+02
220.999826318389324	3.040795e+02
221.999484042010948	3.040829e+02
222.999573556478197	3.040864e+02
223.999571260102471	3.040899e+02
